SOG,COG,Heading,LON,LAT,Cluster
0.8,288.2,157,-88.90861,29.41912,2
0.9,332.5,5,-91.19479,27.93643,2
0.0,0.0,0,-92.05265,29.43007,1
13.4,94.2,96,-85.02939,27.61131,0
11.9,133.0,132,-94.49637,29.18388,1
0.0,0.0,0,-91.09841,29.69112,1
0.0,0.0,0,-93.86952,29.72571,1
0.0,0.0,0,-91.09841,29.69113,1
0.0,0.0,0,-88.96727,29.04342,1
16.7,148.4,145,-80.30476,28.10663,0
14.4,203.1,205,-83.07079,27.44475,0
0.0,0.0,0,-95.17341,29.7481,1
14.7,297.7,297,-84.5657,27.87285,2
0.0,0.0,0,-93.69857,29.25005,1
11.0,136.0,135,-93.74683,29.55044,1
0.0,0.0,0,-80.25608,25.80392,0
0.0,0.0,0,-93.32448,29.79469,1
14.1,175.6,174,-94.42593,28.39603,2
0.0,0.0,0,-90.21424,29.14206,1
10.4,171.6,168,-93.33269,29.69414,2
0.0,0.0,0,-90.21423,29.14207,1
8.8,112.3,105,-89.61142,28.81738,1
0.0,0.0,0,-94.53101,29.3058,1
11.5,266.9,268,-94.72882,29.34539,2
0.5,258.3,219,-96.33889,27.56498,2
0.0,0.0,0,-88.7747,28.17414,1
15.3,303.5,304,-89.2481,28.59863,2
0.0,0.0,0,-82.55878,27.63342,0
15.3,304.0,304,-89.25251,28.60125,2
11.1,284.0,282,-94.70492,29.34465,2
11.6,280.3,278,-84.80489,27.90088,2
0.0,0.0,0,-92.05265,29.43008,1
0.0,0.0,0,-95.2764,29.73347,1
0.1,335.3,69,-96.3642,27.72166,2
14.7,115.3,110,-86.0097,25.23415,0
16.8,50.0,47,-90.11175,28.07815,1
0.0,0.0,0,-89.76491,29.54292,1
0.0,0.0,0,-96.88348,27.7878,1
8.5,120.4,118,-89.80229,28.63332,1
7.4,214.5,210,-94.64364,29.2432,2
6.9,24.0,31,-93.76542,29.54442,1
1.9,273.3,273,-79.99589,26.12141,0
0.0,0.0,0,-93.64857,29.4349,1
0.0,0.0,0,-96.91096,27.82065,1
11.1,83.0,82,-90.4431,28.01007,1
0.0,0.0,0,-95.28495,29.74647,1
102.3,360.0,511,-91.09844,29.69103,2
102.3,360.0,511,-91.09844,29.69099,2
0.0,0.0,0,-90.20967,29.12178,1
18.2,33.7,511,-89.4181,28.92115,2
12.2,178.6,174,-93.22978,29.07281,2
0.0,0.0,0,-94.55412,29.29365,1
0.0,0.0,0,-80.12085,26.07456,0
16.2,144.0,143,-92.81695,28.1285,2
10.2,306.2,312,-94.52883,29.26133,2
10.1,306.4,312,-94.52573,29.25936,2
0.0,0.0,0,-94.59987,29.31915,1
0.1,55.1,56,-89.33928,28.88573,1
1.3,239.3,273,-93.32484,29.78911,2
0.0,0.0,0,-90.08114,29.90115,1
13.5,220.1,219,-89.30679,29.06403,2
9.1,307.5,308,-89.80943,29.58185,2
0.0,0.0,0,-97.06972,27.84004,1
0.0,0.0,0,-88.96727,29.04342,1
10.5,11.6,511,-94.7749,29.33918,2
0.1,3.8,103,-80.07217,26.1243,0
1.2,270.4,356,-94.37067,28.56848,2
0.0,0.0,0,-95.15926,28.86112,1
0.0,0.0,0,-94.45438,29.24539,1
0.0,0.0,0,-97.19398,27.82224,1
0.0,0.0,0,-89.97239,29.25461,1
0.0,0.0,0,-90.20322,29.13943,1
12.4,59.6,74,-79.8296,26.15296,0
11.5,279.9,278,-84.80901,27.90152,2
11.9,133.0,132,-94.49312,29.18122,1
10.5,76.8,78,-93.53372,28.94597,1
0.6,108.1,104,-95.14444,29.73504,1
10.6,77.1,79,-93.52992,28.94677,1
14.7,297.5,297,-84.5747,27.87706,2
0.6,132.5,96,-95.14427,29.73493,1
13.4,95.6,97,-85.02458,27.61095,0
13.1,62.4,63,-82.65443,27.62102,0
0.0,0.0,0,-95.31859,28.93884,1
0.0,0.0,0,-80.24543,25.79637,0
0.2,239.1,32,-96.17834,27.55003,1
23.7,54.4,511,-92.19248,29.76186,2
19.2,56.3,511,-92.19885,29.75787,2
14.4,203.0,205,-83.07278,27.44057,0
14.4,203.1,205,-83.07472,27.43654,0
0.0,0.0,0,-91.10179,29.65441,1
0.0,0.0,0,-91.29706,29.68523,1
0.0,0.0,0,-91.29707,29.6852,1
0.4,257.8,218,-96.33874,27.56502,2
0.0,0.0,0,-94.78567,28.67708,1
0.0,0.0,0,-95.27933,29.73956,1
0.0,0.0,0,-95.00867,29.61232,1
12.2,42.6,43,-89.29289,29.07501,1
13.2,122.0,122,-91.44622,27.27265,1
0.0,0.0,0,-92.18547,29.78029,1
12.0,59.7,60,-95.78634,27.84563,1
12.3,268.0,267,-91.32646,27.95166,2
10.5,172.3,169,-93.33219,29.69075,2
0.6,286.2,252,-93.84257,28.68612,2
0.0,0.0,0,-80.07544,26.1181,0
0.6,285.8,251,-93.84289,28.68618,2
0.1,127.7,210,-90.30321,29.95485,1
13.3,215.6,212,-89.30979,29.06062,2
102.3,360.0,511,-91.09845,29.69098,2
12.2,178.3,175,-93.22964,29.06884,2
13.2,62.1,62,-82.64595,27.62493,0
0.0,0.0,0,-95.20448,29.74185,1
9.8,296.0,297,-89.83525,29.59688,2
0.2,251.7,32,-96.179,27.55015,1
12.2,42.6,42,-89.28988,29.07796,1
0.0,0.0,0,-94.61321,29.32412,1
12.4,59.9,75,-79.82565,26.15504,0
0.0,0.0,0,-90.20965,29.12178,1
18.2,33.7,511,-89.41458,28.92592,2
0.0,0.0,0,-90.32105,29.93866,1
0.0,0.0,0,-95.28493,29.74647,1
0.0,0.0,0,-94.46998,29.25209,1
0.1,189.6,189,-80.07546,26.1181,0
8.7,237.5,511,-90.22101,29.14319,2
0.0,0.0,0,-88.77472,28.17413,1
11.9,132.0,132,-94.49032,29.17895,1
0.0,0.0,0,-93.86952,29.72569,1
0.0,0.0,0,-91.09843,29.69112,1
0.3,170.0,334,-82.44259,27.91453,0
0.0,0.0,0,-94.67101,29.2252,1
12.2,178.7,175,-93.22957,29.06484,2
7.8,33.1,511,-89.41125,28.93032,2
10.4,344.8,511,-94.77481,29.34255,2
0.0,0.0,0,-88.96724,29.04342,1
7.5,355.0,511,-97.07004,27.8413,2
8.5,121.0,118,-89.79952,28.63187,1
13.9,71.5,72,-81.1285,24.38648,0
12.9,128.7,128,-94.51538,29.16174,1
0.0,0.0,0,-94.57532,29.32583,1
0.0,0.0,0,-90.20489,29.14363,1
0.0,0.0,0,-80.25611,25.80391,0
6.3,213.0,207,-93.32552,29.78833,2
0.0,0.0,0,-95.00868,29.61248,1
0.0,0.0,0,-89.9079,29.88979,1
0.0,0.0,0,-91.29705,29.68522,1
7.9,55.4,511,-92.18628,29.76551,2
12.8,129.0,129,-94.48727,29.18828,1
9.2,308.2,308,-89.81213,29.58373,2
0.7,282.8,147,-88.90896,29.41919,2
12.8,129.0,130,-94.4836,29.1856,1
0.0,0.0,0,-80.11621,26.08807,0
13.2,228.2,229,-80.67164,24.59855,0
1.0,322.4,2,-91.19511,27.93678,2
0.3,169.7,334,-82.4426,27.91461,0
0.0,0.0,0,-95.27639,29.73352,1
0.0,0.0,0,-95.2764,29.73348,1
12.4,59.9,75,-79.82178,26.15703,0
11.1,83.0,84,-90.43747,28.01067,1
2.0,278.0,278,-79.99517,26.12136,0
13.0,89.6,88,-83.3937,23.66168,0
0.0,0.0,0,-80.11621,26.08807,0
1.2,272.0,358,-94.37113,28.56847,2
7.1,213.2,210,-94.6451,29.24123,2
0.0,0.0,0,-94.51379,29.15335,1
10.2,307.1,312,-94.53187,29.26331,2
10.5,172.6,169,-93.33168,29.68738,2
8.7,111.3,106,-89.60792,28.81619,1
0.3,254.0,31,-96.17912,27.55011,1
14.4,203.1,205,-83.07668,27.43241,0
0.0,0.0,0,-95.28495,29.74646,1
11.0,133.3,133,-93.741,29.54544,1
13.2,122.0,122,-91.44206,27.27034,1
102.3,360.0,511,-91.09845,29.69098,2
13.4,95.7,96,-85.01965,27.61051,0
0.0,0.0,0,-92.05265,29.43007,1
15.3,302.6,303,-89.26184,28.60659,2
0.0,0.0,0,-82.55881,27.63341,0
16.6,146.4,145,-80.29827,28.09761,0
0.0,0.0,0,-93.64854,29.43486,1
11.6,279.9,278,-84.81318,27.90218,2
0.0,0.0,0,-80.25607,25.804,0
13.1,228.5,229,-80.67858,24.59291,0
9.7,299.0,295,-89.83841,29.59831,2
0.0,0.0,0,-82.63026,27.77634,0
11.1,284.3,282,-94.70898,29.34558,2
1.1,321.8,1,-91.19535,27.93706,2
13.2,121.8,122,-91.43685,27.26746,1
10.7,344.2,511,-94.77581,29.3459,2
9.2,308.0,307,-89.8149,29.58557,2
0.0,0.0,0,-93.32446,29.79466,1
0.0,0.0,0,-88.96726,29.04342,1
1.2,273.8,0,-94.37156,28.56847,1
11.5,267.4,268,-94.73307,29.3452,2
0.0,0.0,0,-90.0811,29.90115,1
16.6,146.5,145,-80.29488,28.0929,0
0.0,0.0,0,-95.15927,28.86116,1
10.6,76.3,79,-93.52612,28.94758,1
0.0,0.0,0,-80.24541,25.79638,0
14.7,114.6,110,-86.00034,25.23013,0
0.0,0.0,0,-92.05265,29.43007,1
13.4,94.5,96,-85.01063,27.60984,0
0.0,0.0,0,-90.2049,29.14366,1
0.0,0.0,0,-90.20485,29.14367,1
10.8,277.3,268,-94.71294,29.34633,2
0.0,0.0,0,-92.18547,29.78026,1
0.0,0.0,0,-94.78563,28.67705,1
0.3,98.8,103,-95.14419,29.73489,1
14.7,297.4,297,-84.58363,27.8812,2
102.3,360.0,511,-91.09843,29.69095,2
0.3,256.9,31,-96.17924,27.55008,1
0.5,257.0,219,-96.33905,27.56496,2
0.0,0.0,0,-90.20319,29.13942,1
12.1,36.1,35,-89.28694,29.08094,1
0.3,258.7,30,-96.17858,27.54998,1
0.0,0.0,0,-95.00883,29.61245,1
8.0,218.6,216,-93.32695,29.78652,2
13.3,208.7,206,-89.31237,29.05689,2
13.4,203.8,204,-89.31452,29.05286,2
7.1,29.0,36,-93.76305,29.54855,1
8.6,53.6,511,-92.18396,29.76694,2
0.0,0.0,0,-90.21424,29.14206,1
0.3,250.4,30,-96.17874,27.54994,1
10.2,306.3,312,-94.53493,29.2653,2
0.0,0.0,0,-90.08109,29.90114,1
0.0,0.0,0,-80.12084,26.07454,0
0.0,0.0,0,-95.27933,29.73956,1
13.9,70.8,71,-81.12369,24.38796,0
4.2,347.2,511,-97.07038,27.84326,2
8.8,103.4,92,-88.90788,29.41868,1
0.0,0.0,0,-95.27641,29.73351,1
0.1,335.3,68,-96.3641,27.72166,2
0.0,0.0,0,-93.69857,29.25005,1
0.0,0.0,0,-89.76494,29.5429,1
0.0,0.0,0,-93.86953,29.7257,1
0.0,0.0,0,-91.09843,29.69113,1
12.7,130.0,129,-94.47998,29.18293,1
0.0,0.0,0,-93.32448,29.79467,1
0.0,0.0,0,-95.09579,29.74962,1
13.4,94.7,95,-85.01486,27.61011,0
0.7,287.3,251,-93.84313,28.68624,2
1.7,261.9,269,-79.99657,26.1214,0
12.3,267.9,267,-91.33107,27.95151,2
12.0,132.0,132,-94.48378,29.17367,1
6.9,214.0,210,-94.6465,29.23938,2
13.6,204.0,204,-89.31655,29.04892,2
9.4,292.0,292,-89.84169,29.5996,2
7.4,176.6,511,-90.22112,29.13874,2
0.1,189.6,194,-80.07543,26.1181,0
0.0,0.0,0,-94.671,29.22522,1
0.0,0.0,0,-82.63027,27.77636,0
0.0,0.0,0,-82.63028,27.77636,0
0.2,15.5,106,-80.07214,26.12445,0
0.0,0.0,0,-94.45437,29.2454,1
0.5,285.9,250,-93.84299,28.68593,2
10.2,306.5,312,-94.53794,29.26724,2
0.0,0.0,0,-88.77473,28.17413,1
0.0,0.0,0,-90.20964,29.12177,1
9.6,32.7,511,-89.40977,28.93232,2
0.1,160.3,334,-82.44263,27.91491,0
0.0,0.0,0,-90.20966,29.12177,1
12.0,60.0,60,-95.78207,27.84784,1
14.1,175.3,174,-94.42468,28.38235,2
11.9,60.2,60,-95.77765,27.85008,1
11.9,132.0,132,-94.48712,29.17633,1
12.7,146.2,144,-94.50678,29.15198,2
0.0,0.0,0,-94.531,29.30577,1
0.5,258.6,220,-96.33938,27.56489,2
0.0,0.0,0,-97.06974,27.84003,1
10.7,266.6,265,-94.71688,29.34624,2
10.7,266.3,265,-94.72094,29.34599,2
0.1,189.6,193,-80.07542,26.1181,0
0.0,0.0,0,-91.29708,29.68522,1
0.0,0.0,0,-92.05265,29.43007,1
2.1,247.7,268,-79.99722,26.1213,0
0.0,0.0,0,-95.24395,29.71826,1
11.8,42.6,42,-89.29884,29.06912,1
0.0,0.0,0,-90.21425,29.14206,1
0.0,0.0,0,-95.17341,29.74807,1
0.0,0.0,0,-95.20246,29.74244,1
12.9,89.7,88,-83.3839,23.66174,0
0.0,0.0,0,-80.11621,26.08807,0
0.0,0.0,0,-97.07051,27.84369,1
13.1,63.0,64,-82.64167,27.62695,0
13.2,63.5,64,-82.63734,27.6289,0
12.3,268.4,268,-91.33553,27.95138,2
0.0,0.0,0,-90.30318,29.95483,1
0.0,0.0,0,-90.20967,29.12178,1
0.0,0.0,0,-90.08111,29.90115,1
11.5,279.9,278,-84.81796,27.90292,2
16.3,145.4,144,-92.82578,28.13951,2
0.8,284.6,161,-88.90838,29.41907,2
0.0,0.0,0,-93.32451,29.79466,1
0.0,0.0,0,-94.51378,29.1534,1
0.0,0.0,0,-90.32105,29.93869,1
10.6,76.0,78,-93.51743,28.94946,1
0.0,0.0,0,-92.18549,29.78029,1
0.0,0.0,0,-89.97237,29.2546,1
0.0,0.0,0,-82.44264,27.9149,0
16.7,38.0,38,-90.10197,28.08787,1
13.8,70.2,72,-81.11818,24.38977,0
0.0,0.0,0,-91.09843,29.69113,1
11.5,267.5,268,-94.73684,29.34502,2
0.0,0.0,0,-89.90789,29.88981,1
9.1,307.6,308,-89.81748,29.58737,2
0.1,189.0,97,-95.14413,29.73481,1
0.5,191.3,99,-95.14418,29.73475,1
6.3,212.6,212,-94.64789,29.2376,2
14.8,115.5,110,-85.99582,25.22821,0
8.7,111.1,105,-89.60453,28.81502,1
12.7,154.7,151,-94.50915,29.15552,2
13.2,121.4,122,-91.43269,27.26516,1
11.6,279.7,278,-84.82219,27.90358,2
0.1,162.0,72,-94.55412,29.29363,1
8.6,120.7,117,-89.79682,28.63046,1
0.0,0.0,0,-96.88349,27.78783,1
0.0,0.0,0,-95.28496,29.74645,1
12.2,178.7,175,-93.22943,29.05969,2
0.3,243.8,29,-96.17888,27.54989,1
0.0,0.0,0,-80.25605,25.80402,0
10.6,339.7,511,-94.77708,29.34923,2
13.8,70.7,72,-81.1139,24.39116,0
16.9,39.0,38,-90.09423,28.09623,1
0.0,0.0,0,-95.00862,29.61252,1
12.7,128.0,128,-94.47637,29.18035,1
15.7,323.8,326,-78.91768,29.67595,2
9.0,289.0,287,-89.84477,29.60072,2
0.0,0.0,0,-93.86952,29.72572,1
0.0,0.0,0,-90.20967,29.12177,1
10.7,76.2,78,-93.52123,28.94863,1
0.0,0.0,0,-95.27563,29.73064,1
0.0,0.0,0,-91.10176,29.65442,1
0.0,0.0,0,-82.63029,27.77637,0
0.7,282.9,250,-93.84333,28.68631,2
